year,state,log_cost,num_storms
2000,ALABAMA,5707.362716746016,937
2000,ARIZONA,490.0389228771963,249
2000,ARKANSAS,1685.872463247393,1135
2000,CALIFORNIA,1213.6002244866445,745
2000,COLORADO,472.0866171218039,1098
2000,CONNECTICUT,216.03454209274153,173
2000,DELAWARE,48.11656644478519,105
2000,FLORIDA,4614.294635072068,1176
2000,GEORGIA,5674.877535637844,1541
2000,IDAHO,381.2035956364463,214
2000,ILLINOIS,1424.3771184174961,1698
2000,INDIANA,2060.295415429521,1036
2000,IOWA,8865.513866427087,1917
2000,KANSAS,2151.8745741443713,2284
2000,KENTUCKY,2882.094810601345,1305
2000,LOUISIANA,3291.255927905699,694
2000,MAINE,218.83182013862074,726
2000,MARYLAND,1542.4007143992221,685
2000,MASSACHUSETTS,299.5570246970216,417
2000,MICHIGAN,3031.700856677566,1013
2000,MINNESOTA,1410.4752003738613,993
2000,MISSISSIPPI,5793.013966211602,912
2000,MISSOURI,2012.037994372366,1723
2000,MONTANA,592.4551702632563,977
2000,NEBRASKA,3597.088970334526,1463
2000,NEVADA,207.03469055274576,151
2000,NEW HAMPSHIRE,52.72090996799287,363
2000,NEW JERSEY,366.83900406522827,669
2000,NEW MEXICO,271.1436859354999,218
2000,NEW YORK,7538.9653036784175,1609
2000,NORTH CAROLINA,1019.4093561031322,1586
2000,NORTH DAKOTA,921.0287104597624,967
2000,OHIO,7570.723557790798,1364
2000,OKLAHOMA,3882.991941171089,1738
2000,OREGON,331.23598174132326,236
2000,PENNSYLVANIA,3979.2350270287216,1290
2000,RHODE ISLAND,47.33304402017059,84
2000,SOUTH CAROLINA,486.89944224309374,715
2000,SOUTH DAKOTA,1202.433046836556,1213
2000,TENNESSEE,2143.7391042952554,1047
2000,TEXAS,8982.862215829024,3396
2000,UTAH,347.0791921913917,181
2000,VERMONT,2381.6505688807447,304
2000,VIRGINIA,3719.623717096198,1585
2000,WASHINGTON,433.12947749807336,185
2000,WEST VIRGINIA,2323.355182294462,874
2000,WISCONSIN,3086.582417752807,1310
2000,WYOMING,255.73443328321673,346
2001,ALABAMA,4631.627676249664,755
2001,ARIZONA,410.2520509061036,254
2001,ARKANSAS,1679.8803013222089,1113
2001,CALIFORNIA,1104.7469183230614,1010
2001,COLORADO,787.5234957424145,995
2001,CONNECTICUT,191.81104492281668,145
2001,DELAWARE,75.75276626013182,71
2001,FLORIDA,4009.298861723146,1155
2001,GEORGIA,3379.0321793549606,1085
2001,IDAHO,84.32955361827212,270
2001,ILLINOIS,1075.7204724617936,1172
2001,INDIANA,1767.8167085056155,994
2001,IOWA,11599.601588143329,2220
2001,KANSAS,2337.833879635526,3279
2001,KENTUCKY,2101.350713697691,967
2001,LOUISIANA,3605.080850706666,632
2001,MAINE,127.13555429764716,579
2001,MARYLAND,1071.7846028129113,444
2001,MASSACHUSETTS,371.50017185885525,349
2001,MICHIGAN,3680.1131390206365,887
2001,MINNESOTA,3358.6302658167656,1762
2001,MISSISSIPPI,6339.510417368054,974
2001,MISSOURI,2434.5626869991875,1847
2001,MONTANA,261.54231900067134,1215
2001,NEBRASKA,3122.605180847585,1653
2001,NEVADA,124.28376513630307,133
2001,NEW HAMPSHIRE,118.89781316884014,339
2001,NEW JERSEY,238.44016574151377,452
2001,NEW MEXICO,320.0898587473085,203
2001,NEW YORK,3677.3640600907074,855
2001,NORTH CAROLINA,812.3809455830958,734
2001,NORTH DAKOTA,1248.415549463217,939
2001,OHIO,5126.531980166231,926
2001,OKLAHOMA,3419.5650878404344,2129
2001,OREGON,357.204581404832,308
2001,PENNSYLVANIA,2303.7407970315426,902
2001,RHODE ISLAND,104.42772846962748,57
2001,SOUTH CAROLINA,372.7659229940847,423
2001,SOUTH DAKOTA,854.1243562364848,1170
2001,TENNESSEE,2217.4202528026235,1021
2001,TEXAS,8447.981120657774,3228
2001,UTAH,408.89671648742564,186
2001,VERMONT,1843.5235432138843,300
2001,VIRGINIA,1864.8028562575241,902
2001,WASHINGTON,480.5179588479948,224
2001,WEST VIRGINIA,1818.1469404505854,673
2001,WISCONSIN,2343.406307247288,1289
2001,WYOMING,207.4294337769688,357
2002,ALABAMA,4027.848943431966,728
2002,ARIZONA,485.7839118054266,194
2002,ARKANSAS,1228.6162281386758,899
2002,CALIFORNIA,1489.0565407542522,764
2002,COLORADO,529.068890784499,892
2002,CONNECTICUT,315.9682525088852,136
2002,DELAWARE,55.89076155541602,99
2002,FLORIDA,2895.830059570744,846
2002,GEORGIA,5057.03952196541,1924
2002,IDAHO,129.95255656699698,332
2002,ILLINOIS,881.3933954582116,1300
2002,INDIANA,2473.7580184531375,1006
2002,IOWA,6028.393403684276,1374
2002,KANSAS,2723.0989978822445,3050
2002,KENTUCKY,2450.889250316955,1366
2002,LOUISIANA,3763.0070155609988,586
2002,MAINE,170.90303763465988,528
2002,MARYLAND,1349.2078322129491,438
2002,MASSACHUSETTS,1203.1829114292789,208
2002,MICHIGAN,1834.919080866036,1069
2002,MINNESOTA,1469.7477535295848,1550
2002,MISSISSIPPI,4951.411168215382,809
2002,MISSOURI,2817.2519378364145,1809
2002,MONTANA,342.14353714331264,1139
2002,NEBRASKA,2785.4217030848245,1265
2002,NEVADA,698.0066578571628,191
2002,NEW HAMPSHIRE,259.4612719953685,324
2002,NEW JERSEY,129.37687521908128,589
2002,NEW MEXICO,324.86318909358175,266
2002,NEW YORK,6236.577451776812,1193
2002,NORTH CAROLINA,2219.921583169435,1213
2002,NORTH DAKOTA,509.1528053750027,871
2002,OHIO,9847.101600418546,1495
