iter	Passed	Remaining
166	289	1445
167	291	1442
168	292	1440
169	294	1438
170	296	1436
171	297	1434
172	299	1433
173	302	1433
174	304	1433
175	306	1432
176	307	1431
177	309	1429
178	311	1427
179	312	1424
180	314	1423
181	316	1421
182	317	1419
183	319	1417
184	321	1415
185	323	1413
186	324	1411
187	326	1409
188	327	1406
189	329	1405
190	331	1403
191	333	1401
192	334	1399
193	336	1399
194	338	1397
195	340	1395
196	341	1392
197	343	1390
198	344	1388
199	346	1386
200	348	1384
201	350	1382
202	351	1381
203	353	1379
204	355	1376
205	356	1374
206	358	1372
207	359	1370
208	361	1368
209	363	1365
210	364	1363
211	366	1361
212	367	1359
213	369	1357
214	371	1355
215	372	1353
216	374	1351
217	376	1349
218	377	1347
219	379	1345
220	380	1342
221	382	1340
222	384	1338
223	385	1336
224	387	1334
225	389	1332
226	390	1330
227	392	1328
228	393	1326
229	395	1324
230	397	1322
231	398	1320
232	400	1318
233	402	1316
234	403	1314
235	405	1312
236	407	1310
237	408	1308
238	410	1306
239	411	1304
240	413	1302
241	415	1300
242	416	1298
243	418	1296
244	420	1294
245	421	1292
246	423	1290
247	425	1288
248	426	1286
249	428	1284
250	429	1282
251	431	1280
252	433	1278
253	434	1276
254	436	1274
255	438	1273
256	439	1271
257	441	1269
258	442	1267
259	444	1265
260	446	1263
261	447	1261
262	449	1260
263	451	1258
264	453	1256
265	454	1254
266	456	1252
267	457	1250
268	459	1249
269	461	1247
270	462	1245
271	464	1243
272	466	1241
273	467	1239
274	469	1237
275	471	1236
276	472	1234
277	474	1232
278	476	1230
279	477	1228
280	479	1226
281	481	1225
282	482	1223
283	484	1221
284	486	1219
285	487	1217
286	489	1216
287	491	1213
288	492	1211
289	494	1209
290	496	1208
291	498	1207
292	499	1205
293	501	1203
294	502	1201
295	504	1200
296	506	1198
297	507	1196
298	509	1194
299	511	1192
300	512	1191
301	514	1189
302	516	1187
303	518	1186
304	519	1184
305	521	1182
306	523	1180
307	524	1179
308	526	1177
309	528	1175
310	530	1174
311	531	1172
312	533	1171
313	535	1169
314	536	1167
315	538	1165
316	540	1163
317	542	1162
318	544	1161
319	545	1159
320	547	1157
321	548	1155
322	550	1153
323	552	1152
324	553	1150
325	555	1148
326	556	1146
327	558	1144
328	560	1142
329	561	1140
330	563	1138
331	565	1136
332	566	1135
333	568	1133
334	570	1131
335	571	1129
336	573	1127
337	574	1126
338	576	1124
339	578	1122
340	579	1120
341	581	1118
342	583	1116
343	584	1114
344	586	1113
345	588	1111
346	589	1109
347	591	1108
348	593	1106
349	594	1104
350	596	1102
351	598	1100
352	599	1099
353	601	1097
354	603	1095
355	604	1093
356	606	1091
357	607	1090
358	609	1088
359	611	1086
360	612	1084
361	614	1082
362	615	1080
363	617	1079
364	619	1077
365	620	1075
366	622	1073
367	623	1071
368	625	1069
369	627	1068
370	628	1066
371	630	1064
372	632	1062
373	634	1061
374	636	1060
375	637	1058
376	639	1057
377	641	1055
378	643	1053
379	644	1051
380	646	1050
381	648	1048
382	649	1046
383	650	1044
384	652	1042
385	654	1040
386	656	1039
387	657	1037
388	659	1035
389	661	1034
390	662	1032
391	664	1030
392	666	1028
393	667	1026
394	669	1025
395	670	1023
396	672	1021
397	674	1019
398	676	1018
399	677	1016
400	679	1014
401	681	1013
402	682	1011
403	684	1009
404	686	1007
405	687	1006
406	689	1004
407	691	1002
408	692	1001
409	694	999
410	696	997
411	697	995
412	699	993
413	700	992
414	702	990
415	704	988
416	705	986
417	707	985
418	709	983
419	710	981
420	712	980
421	714	978
422	715	976
423	717	974
424	719	973
425	720	971
426	722	969
427	724	968
428	725	966
429	727	964
430	729	962
431	730	960
432	732	959
433	734	957
434	735	955
435	737	954
436	739	952
437	741	950
438	742	949
439	744	947
440	745	945
441	747	943
442	749	942
443	750	940
444	752	938
445	754	936
446	755	934
447	757	933
448	759	931
449	760	929
450	762	927
451	763	926
452	765	924
453	767	922
454	768	920
455	770	919
456	772	917
457	774	916
458	775	914
459	777	912
460	779	910
461	780	909
462	782	907
463	784	905
464	785	904
465	787	902
466	789	900
467	791	899
468	792	897
469	794	896
470	796	894
471	798	892
472	799	891
473	801	889
474	802	887
475	804	885
476	806	884
477	807	882
478	809	880
479	811	878
480	812	877
481	814	875
482	816	873
483	817	871
484	819	870
485	821	868
486	822	866
487	824	865
488	826	863
489	827	861
490	829	860
491	831	858
492	833	856
493	835	855
494	836	853
495	838	852
496	840	850
497	842	848
498	843	847
499	845	845
500	847	843
501	848	842
502	850	840
503	852	838
504	854	837
505	855	835
506	857	833
507	859	832
508	860	830
509	862	828
510	864	827
511	865	825
512	867	823
513	869	822
514	871	820
515	872	818
516	874	817
517	876	815
518	878	814
519	880	812
520	881	810
521	883	809
522	885	807
523	887	805
524	889	804
525	890	802
526	892	801
527	894	799
528	896	798
529	898	796
530	900	794
531	901	793
532	903	791
533	904	789
534	906	787
535	908	786
536	909	784
537	911	782
538	912	780
539	914	779
540	916	777
541	917	775
542	919	773
543	920	771
544	922	770
545	924	768
546	925	766
547	927	765
548	929	763
549	930	761
550	932	759
551	934	758
552	935	756
553	937	754
554	938	752
555	940	751
556	942	749
557	944	747
558	945	746
559	947	744
560	949	742
561	950	740
562	952	739
563	954	737
564	955	735
565	957	734
566	959	732
567	961	730
568	962	729
569	964	727
570	965	725
571	967	723
572	968	722
573	970	720
574	972	718
575	973	716
576	975	715
577	977	713
578	978	711
579	980	709
580	982	708
581	983	706
582	985	704
583	987	703
584	988	701
585	990	699
586	992	698
587	995	697
588	997	696
589	999	694
590	1003	694
591	1006	693
592	1008	692
593	1010	691
594	1013	689
595	1015	688
596	1017	687
597	1020	685
598	1022	684
599	1025	683
600	1027	682
601	1030	681
602	1032	679
603	1034	678
604	1037	677
605	1039	676
606	1042	674
607	1044	673
608	1046	672
609	1049	670
610	1051	669
611	1053	668
612	1056	666
613	1058	665
614	1061	664
615	1063	663
616	1065	661
617	1068	660
618	1070	658
619	1072	657
620	1075	656
621	1077	654
622	1079	653
623	1082	652
624	1084	650
625	1086	649
626	1089	648
627	1091	646
628	1094	645
629	1096	644
630	1098	642
631	1101	641
632	1103	639
633	1106	638
634	1108	637
635	1110	635
636	1113	634
637	1115	632
638	1117	631
639	1120	630
640	1122	628
641	1124	627
642	1127	625
643	1129	624
644	1131	622
645	1134	621
646	1136	620
647	1139	618
648	1141	617
649	1143	615
650	1146	614
651	1148	612
652	1150	611
653	1153	610
654	1155	608
655	1157	607
656	1160	605
657	1162	604
658	1164	602
659	1167	601
660	1169	599
661	1171	598
662	1174	596
663	1176	595
664	1178	593
665	1181	592
666	1183	590
667	1185	589
668	1188	587
669	1190	586
670	1193	585
671	1196	584
672	1199	582
673	1201	581
674	1203	579
675	1206	578
676	1208	576
677	1210	575
678	1213	573
679	1215	572
680	1218	570
681	1220	569
682	1222	567
683	1225	566
684	1227	564
685	1229	562
686	1232	561
687	1234	559
688	1236	558
689	1239	556
690	1241	555
691	1244	553
692	1246	552
693	1248	550
694	1251	549
695	1253	547
696	1255	545
697	1258	544
698	1260	542
699	1262	541
700	1265	539
701	1267	538
702	1269	536
703	1272	534
704	1274	533
705	1277	531
706	1279	530
707	1281	528
708	1283	526
709	1286	525
710	1288	523
711	1291	522
712	1293	520
713	1296	519
714	1298	517
715	1300	515
716	1303	514
717	1305	512
718	1307	511
719	1310	509
720	1312	507
721	1314	506
722	1317	504
723	1319	503
724	1322	501
725	1324	499
726	1326	498
727	1328	496
728	1331	494
729	1333	493
730	1336	491
731	1338	490
732	1340	488
733	1343	486
734	1345	485
735	1347	483
736	1350	481
737	1352	480
738	1354	478
739	1357	476
740	1359	475
741	1361	473
742	1364	471
743	1366	470
744	1368	468
745	1371	466
746	1373	465
747	1375	463
748	1378	461
749	1380	460
750	1383	458
751	1385	456
752	1387	455
753	1390	453
754	1392	451
755	1394	450
756	1397	448
757	1399	446
758	1401	445
759	1404	443
760	1406	441
761	1408	439
762	1411	438
763	1413	436
764	1415	434
765	1418	433
766	1420	431
767	1422	429
768	1425	428
769	1427	426
770	1429	424
771	1432	422
772	1434	421
773	1436	419
774	1439	417
775	1441	416
776	1443	414
777	1446	412
778	1448	410
779	1450	409
780	1453	407
781	1455	405
782	1458	404
783	1460	402
784	1462	400
785	1465	398
786	1467	397
787	1469	395
788	1472	393
789	1474	391
790	1476	390
791	1479	388
792	1481	386
793	1483	384
794	1486	383
795	1488	381
796	1490	379
797	1493	377
798	1495	376
799	1497	374
800	1500	372
801	1502	371
802	1505	369
803	1507	367
804	1509	365
805	1512	363
806	1514	362
807	1517	360
808	1519	358
809	1522	357
810	1524	355
811	1527	353
812	1529	351
813	1531	349
814	1533	348
815	1536	346
816	1538	344
817	1540	342
818	1543	341
819	1545	339
820	1548	337
821	1550	335
822	1553	334
823	1555	332
824	1557	330
825	1560	328
826	1562	326
827	1564	325
828	1566	323
829	1569	321
830	1571	319
831	1573	317
832	1576	316
833	1578	314
834	1581	312
835	1583	310
836	1585	308
837	1588	307
838	1591	305
839	1593	303
840	1595	301
841	1597	299
842	1600	298
843	1602	296
844	1604	294
845	1607	292
846	1609	290
847	1611	288
848	1614	287
849	1616	285
850	1618	283
851	1620	281
852	1623	279
853	1625	277
854	1628	276
855	1630	274
856	1633	272
857	1635	270
858	1637	268
859	1640	267
860	1642	265
861	1644	263
862	1647	261
863	1649	259
864	1652	257
865	1654	255
866	1656	254
867	1658	252
868	1661	250
869	1663	248
870	1665	246
871	1668	244
872	1671	243
873	1674	241
874	1677	239
875	1679	237
876	1681	235
877	1684	234
878	1686	232
879	1688	230
880	1691	228
881	1693	226
882	1695	224
883	1698	222
884	1700	220
885	1702	219
886	1705	217
887	1707	215
888	1709	213
889	1712	211
890	1714	209
891	1716	207
892	1719	205
893	1721	204
894	1723	202
895	1726	200
896	1728	198
897	1730	196
898	1733	194
899	1735	192
900	1737	190
901	1740	189
902	1742	187
903	1745	185
904	1748	183
905	1751	181
906	1753	179
907	1756	177
908	1758	176
909	1761	174
910	1763	172
911	1765	170
912	1768	168
913	1770	166
914	1773	164
915	1775	162
916	1777	160
917	1780	159
918	1782	157
919	1784	155
920	1787	153
921	1789	151
922	1791	149
923	1794	147
924	1796	145
925	1798	143
926	1801	141
927	1803	139
928	1805	138
929	1808	136
930	1810	134
931	1812	132
932	1815	130
933	1817	128
934	1819	126
935	1822	124
936	1824	122
937	1826	120
938	1828	118
939	1831	116
940	1833	114
941	1835	113
942	1838	111
943	1840	109
944	1842	107
945	1845	105
946	1847	103
947	1849	101
948	1851	99
949	1854	97
950	1856	95
951	1858	93
952	1861	91
953	1863	89
954	1865	87
955	1868	85
956	1870	84
957	1873	82
958	1875	80
959	1877	78
960	1880	76
961	1882	74
962	1884	72
963	1887	70
964	1889	68
965	1891	66
966	1894	64
967	1896	62
968	1898	60
969	1901	58
970	1903	56
971	1905	54
972	1908	52
973	1910	51
974	1913	49
975	1915	47
976	1917	45
977	1920	43
978	1922	41
979	1925	39
980	1927	37
981	1929	35
982	1932	33
983	1934	31
984	1936	29
985	1938	27
986	1941	25
987	1943	23
988	1945	21
989	1948	19
990	1950	17
991	1952	15
992	1955	13
993	1957	11
994	1959	9
995	1962	7
996	1964	5
997	1967	3
998	1969	1
999	1971	0
