iter	Logloss
0	0.6835978301
1	0.6743777919
2	0.664797937
3	0.6569594994
4	0.6506409974
5	0.6430385418
6	0.6333883102
7	0.6259381892
8	0.6194230636
9	0.6113602787
10	0.6045985025
11	0.5980169387
12	0.5909044692
13	0.5834772199
14	0.5777823366
15	0.570599934
16	0.5636154116
17	0.5573369551
18	0.551969456
19	0.5471851762
20	0.5412605294
21	0.5362974102
22	0.5314778699
23	0.524642841
24	0.519638286
25	0.5152276031
26	0.5101087036
27	0.5055770319
28	0.4999647107
29	0.4949862826
30	0.4902217549
31	0.4865617859
32	0.4823592508
33	0.4786207268
34	0.4752546593
35	0.4717423172
36	0.4681314547
37	0.4639679589
38	0.4598329387
39	0.4571587017
40	0.452963004
41	0.4498180208
42	0.4465139363
43	0.4431574639
44	0.4394490078
45	0.4360598047
46	0.4317749868
47	0.4290938988
48	0.4265635945
49	0.4235253897
50	0.4206540173
51	0.4169789364
52	0.4141010768
53	0.4118127507
54	0.4094687663
55	0.4073602475
56	0.4045433316
57	0.4021970074
58	0.3998312248
59	0.3974852685
60	0.3952333654
61	0.3935876619
62	0.391409397
63	0.3890069736
64	0.3863125328
65	0.3834188754
66	0.3814486004
67	0.3792426013
68	0.3776786014
69	0.3754073392
70	0.3734066976
71	0.3717190022
72	0.3698601692
73	0.3675851318
74	0.3656749073
75	0.3642876744
76	0.3630985242
77	0.361321387
78	0.3591321799
79	0.3574261047
80	0.3555114402
81	0.3539077262
82	0.3523568228
83	0.3511813825
84	0.3495588886
85	0.3475035203
86	0.3463272238
87	0.3445410335
88	0.3430742202
89	0.3405260127
90	0.3392640236
91	0.3375352266
92	0.3363542315
93	0.3353093888
94	0.3339162526
95	0.3324983472
96	0.3314485525
97	0.3303470829
98	0.3291383743
99	0.3278966791
100	0.3265668507
101	0.3252731436
102	0.3235409944
103	0.3226811533
104	0.3217172436
105	0.3206991738
106	0.3193925465
107	0.3181720603
108	0.3169764309
109	0.3161820312
110	0.315158259
111	0.3138120448
112	0.313172422
113	0.3116048186
114	0.3108204703
115	0.3095149837
116	0.3085797587
117	0.307480001
118	0.3067346102
119	0.3053897655
120	0.3042158291
121	0.3031983032
122	0.3022287884
123	0.3008691992
124	0.3001643216
125	0.2990486959
126	0.2982777054
127	0.2977546306
128	0.297090416
129	0.296193133
130	0.2953000416
131	0.2944550068
132	0.2933823295
133	0.2922574774
134	0.2910909695
135	0.290456762
136	0.2896068507
137	0.2888533256
138	0.2882445744
139	0.287329981
140	0.2870295881
141	0.2862144491
142	0.2851041897
143	0.2843453331
144	0.2837201568
145	0.2828725884
146	0.2820179075
147	0.2815143568
148	0.2808163386
149	0.2802622661
150	0.2795755013
151	0.279019233
152	0.2783873224
153	0.2781909465
154	0.2773883708
155	0.2768242219
156	0.2764013026
157	0.2758411457
158	0.275275163
159	0.2745560142
160	0.2739373081
161	0.273041897
162	0.2726307856
163	0.2722174509
164	0.2717327188
165	0.2712064854
166	0.2706192816
167	0.2702991066
168	0.2699001432
169	0.2695144252
170	0.2691893737
171	0.2689681277
172	0.2684826109
173	0.2681782082
174	0.2677668515
175	0.2673161483
176	0.2669483407
177	0.2665168046
178	0.2660407394
179	0.2656527961
180	0.2651559795
181	0.2645514049
182	0.2641326543
183	0.2638723654
184	0.2633619176
185	0.2627752157
186	0.2623168836
187	0.261558001
188	0.2611479222
189	0.2607307882
190	0.2602008049
191	0.2594903335
192	0.2589937689
193	0.2586435044
194	0.2580686188
195	0.2578420071
196	0.2577086059
197	0.2571976901
198	0.2566917288
199	0.2563155354
200	0.2559147032
201	0.2553610193
202	0.254696253
203	0.2545121209
204	0.2540749425
205	0.2536480821
206	0.2533534978
207	0.2531080184
208	0.2527594434
209	0.2523815297
210	0.2519617593
211	0.2516183053
212	0.2510894408
213	0.2504441153
214	0.2502025711
215	0.2497755257
216	0.2495390925
217	0.2493519378
218	0.2491996017
219	0.248816912
220	0.2485004511
221	0.2480569831
222	0.247926172
223	0.2473744002
224	0.2469520219
225	0.2467038904
226	0.2462577151
227	0.2458929499
228	0.2454689898
229	0.2451214945
230	0.2447517917
231	0.2444895108
232	0.2441752212
233	0.243850468
234	0.243653072
235	0.2435351243
236	0.2433276722
237	0.2432002092
238	0.242541583
239	0.2424632233
240	0.241953093
241	0.2417684024
242	0.2415251269
243	0.2413667292
244	0.2409711708
245	0.2407698112
246	0.2405993755
247	0.2402988546
248	0.2400041483
249	0.2397976922
250	0.23966639
251	0.2395167023
252	0.239336486
253	0.2390575749
254	0.2387681807
255	0.2384465644
256	0.2382134699
257	0.2378083716
258	0.2373663968
259	0.2370962385
260	0.2365646347
261	0.2363862103
262	0.2361651882
263	0.2358587075
264	0.2354858242
265	0.2349471034
266	0.2348077577
267	0.2345078072
268	0.2339712031
269	0.2337949972
270	0.233444174
271	0.2329672014
272	0.2325116066
273	0.2322001462
274	0.2321391288
275	0.2318914493
276	0.2315669462
277	0.2312240295
278	0.2309239859
279	0.2306127198
280	0.2302594944
281	0.2298961814
282	0.2296709469
283	0.2294627731
284	0.2293966797
285	0.2290793718
286	0.228651718
287	0.2283859621
288	0.2280085055
289	0.2279034163
290	0.2276182535
291	0.227280981
292	0.2271555052
293	0.227039322
294	0.2268001492
295	0.2265451146
296	0.2263158248
297	0.2261458587
298	0.225977858
299	0.2257880375
300	0.2255092438
301	0.2252579986
302	0.2247855201
303	0.2245613954
304	0.2242610757
305	0.2239929565
306	0.2237409256
307	0.2236088783
308	0.2232315574
309	0.2229144244
310	0.2226068845
311	0.2223701906
312	0.2223094943
313	0.221902415
314	0.2217364697
315	0.2215358495
316	0.2212099661
317	0.2210760924
318	0.2208177894
319	0.2205110392
320	0.220293169
321	0.2200059695
322	0.2196568445
323	0.2193510926
324	0.2191366508
325	0.2190406901
326	0.218812601
327	0.2185933394
328	0.2185030277
329	0.2184338056
330	0.2181550403
331	0.2179521394
332	0.217720432
333	0.2174784876
334	0.2171993974
335	0.2170272197
336	0.2168828419
337	0.2166511971
338	0.2163478616
339	0.2162008902
340	0.2158653419
341	0.215580288
342	0.2153224665
343	0.21496658
344	0.2147704467
345	0.2146773879
346	0.2145106876
347	0.2142216086
348	0.2140410862
349	0.2138285189
350	0.2136807089
351	0.213569825
352	0.2131871913
353	0.2129697344
354	0.2126298785
355	0.2124374319
356	0.2122891876
357	0.2121171476
358	0.2119315288
359	0.2117269327
360	0.2114912955
361	0.211242562
362	0.2110150282
363	0.21089362
364	0.2107750496
365	0.2104454821
366	0.2101318228
367	0.2098603071
368	0.2096788281
369	0.2095650193
370	0.2093403965
371	0.2092578365
372	0.2089842798
373	0.208701825
374	0.2085877923
375	0.2084179642
376	0.2083030185
377	0.2082226234
378	0.2081064302
379	0.2079504036
380	0.2078423359
381	0.2076382981
382	0.2073268487
383	0.2072121807
384	0.2069401678
385	0.206687712
386	0.2065126361
387	0.2063890503
388	0.2062443156
389	0.2059880879
390	0.2058340027
391	0.205675453
392	0.2054224512
393	0.2052490726
394	0.2050660665
395	0.204949496
396	0.2047238481
397	0.2045647658
398	0.2044639036
399	0.2043065875
400	0.2041175184
401	0.2038974939
402	0.2037365756
403	0.2035773211
404	0.2034075168
405	0.2030994255
406	0.2029035829
407	0.2027300174
408	0.2025485079
409	0.2023344203
410	0.2020650693
411	0.2017624667
412	0.2016016127
413	0.201488079
414	0.2011692684
415	0.2010492006
416	0.2008603174
417	0.2006525586
418	0.2004413127
419	0.2002744597
420	0.2000713035
421	0.199935368
422	0.1998174647
423	0.1995428952
424	0.199353447
425	0.1992468701
426	0.1991487791
427	0.1990840808
428	0.1987996475
429	0.1986116057
430	0.1983756296
431	0.1981741621
432	0.1980101921
433	0.1979339047
434	0.1977172403
435	0.1975853492
436	0.1974358965
437	0.1972244064
438	0.1970315824
439	0.196830429
440	0.1966496166
441	0.1964693815
442	0.196393564
443	0.1961885315
444	0.1960438046
445	0.1958894732
446	0.1956623159
447	0.195545631
448	0.1954315979
449	0.1952385971
450	0.195003555
451	0.1948245542
452	0.1945694608
453	0.1944363343
454	0.1942869083
455	0.1939615256
456	0.1937987104
457	0.193572688
458	0.1933332716
459	0.1930706823
460	0.1929938654
461	0.1927200621
462	0.1925637278
463	0.1923982631
464	0.1922681762
465	0.1921134052
466	0.1918931316
467	0.1916998129
468	0.1915267901
469	0.1912963365
470	0.1910268736
471	0.1909236346
472	0.1906536808
473	0.1905460648
474	0.1902982001
475	0.1901962495
476	0.1901144808
477	0.189918367
478	0.1896578722
479	0.1895427711
480	0.1894855059
481	0.1893472026
482	0.1891815977
483	0.1890147093
484	0.1887545119
485	0.1885443774
486	0.1883528089
487	0.188121789
488	0.1880506336
489	0.1879638846
490	0.187878289
491	0.1877309189
492	0.1875687141
493	0.1874793105
494	0.1873379898
495	0.1872755348
496	0.1872063746
497	0.1869520552
498	0.1867859596
499	0.1867311281
500	0.1866008608
501	0.1865015477
502	0.1863756017
503	0.1861611526
504	0.1861185014
505	0.1859432442
506	0.1858434348
507	0.185543512
508	0.1854611175
509	0.1852018846
510	0.1850166134
511	0.1848171947
512	0.1846735303
513	0.1845041427
514	0.1843115224
515	0.1841662254
516	0.1839646371
517	0.1838132344
518	0.1837079698
519	0.1835113355
520	0.1834360369
521	0.1832561354
522	0.18304298
523	0.1828952271
524	0.1827666943
525	0.1826152157
526	0.1825329057
527	0.182333746
528	0.182190536
529	0.182130941
530	0.1819151373
531	0.1817972747
532	0.1816659393
533	0.1815050696
534	0.1812497491
535	0.1811638207
536	0.1810282621
537	0.1807999755
538	0.1806643453
539	0.1804779255
540	0.1803257318
541	0.1802074172
542	0.1800175361
543	0.1798772288
544	0.179627235
545	0.1794197641
546	0.1793430826
547	0.1791823723
548	0.1790241243
549	0.1788016466
550	0.1786405579
551	0.1784585438
552	0.1783445428
553	0.17807226
554	0.1779437735
555	0.1778167653
556	0.1776275023
557	0.1774990481
558	0.1774150748
559	0.1773419127
560	0.1770870443
561	0.1769209214
562	0.1767989637
563	0.1765904197
564	0.176452455
565	0.1763763914
566	0.1762810252
567	0.1760425946
568	0.1759585834
569	0.1757722325
570	0.1756174924
571	0.1755357132
572	0.1753417015
573	0.1752131667
574	0.1750081835
575	0.174924042
576	0.1748179568
577	0.174624899
578	0.1745705198
579	0.1743796455
580	0.1741341443
581	0.173990093
582	0.1738989363
583	0.1737740582
584	0.1736779743
585	0.1735868043
586	0.1733910752
587	0.1733193069
588	0.1731843529
589	0.1729715604
590	0.1728395993
591	0.1726870499
592	0.1725570314
593	0.1723217308
594	0.1722197244
595	0.1721536571
596	0.1720063677
597	0.1719502911
598	0.1718604231
599	0.1716938311
600	0.1715466218
601	0.1714440844
602	0.1713195259
603	0.1710667082
604	0.1709242996
605	0.1708369594
606	0.170716215
607	0.1705582093
608	0.1703492221
609	0.1701777014
610	0.1700329237
611	0.1698747019
612	0.1697749566
613	0.1696465676
614	0.1694398598
615	0.1693802474
616	0.1691752729
617	0.1691158479
618	0.1689956593
619	0.168892245
620	0.1687030859
621	0.1686406084
622	0.1684302376
623	0.1683978952
624	0.1683301681
625	0.1681877149
626	0.1680671555
627	0.1678793936
628	0.1677012858
629	0.1675993054
630	0.1673424927
631	0.1671617471
632	0.1670016835
633	0.1668425941
634	0.1666256285
635	0.1664988338
636	0.166428038
637	0.1663576009
638	0.1660754904
639	0.1659233612
640	0.165855443
641	0.165655508
642	0.1654872143
643	0.1653926255
644	0.1651849991
645	0.1650555325
646	0.1650271458
647	0.164945937
648	0.1647630327
649	0.1646862959
650	0.1645903722
651	0.1644807529
652	0.1643482565
653	0.1641861193
654	0.1641073505
655	0.1639653014
656	0.1639185855
657	0.1638083455
658	0.1637460921
659	0.163570362
660	0.1634483927
661	0.1632577672
662	0.1630282834
663	0.1628688973
664	0.1627676164
665	0.1626738174
666	0.1624842509
667	0.1623666994
668	0.1623052123
669	0.1621170037
670	0.1620238375
671	0.1619622708
672	0.1618003291
673	0.1617525887
674	0.1616238335
675	0.1615596726
676	0.1614112951
677	0.1612683128
678	0.1612420252
679	0.1611639947
680	0.1610761683
681	0.1610033058
682	0.1608677331
683	0.1606909029
684	0.1605389692
685	0.160383814
686	0.1602680635
687	0.1601116516
688	0.1600705535
689	0.1599614967
690	0.1598105636
691	0.1596074598
692	0.1594344842
693	0.159341145
694	0.1592443575
695	0.1590639914
696	0.1589174913
697	0.1588263809
698	0.1587503812
699	0.1585699927
700	0.1584007986
701	0.1582532328
702	0.1581538211
703	0.157938066
704	0.1577642717
705	0.1576130066
706	0.1574737724
707	0.157197092
708	0.1571636993
709	0.1570864342
710	0.1568626645
711	0.1567428861
712	0.1565768835
713	0.1564569709
714	0.1562881781
715	0.1561655766
716	0.1560329423
717	0.1559449744
718	0.1558458654
719	0.1557230055
720	0.1556166884
721	0.1555730318
722	0.1553913906
723	0.1552003278
724	0.1550359362
725	0.1548703271
726	0.1547600951
727	0.1546250031
728	0.154535669
729	0.1544547894
730	0.1544217028
731	0.1543674219
732	0.1542993724
733	0.1541654124
734	0.1541197771
735	0.1540281723
736	0.1538133117
737	0.1537608282
738	0.1536721631
739	0.1536288716
740	0.1535994795
741	0.1534410458
742	0.1532844382
743	0.1531928156
744	0.1530839416
745	0.1529235059
746	0.1528667773
747	0.1527953635
748	0.1526516191
749	0.152567302
750	0.1524964436
751	0.1524668438
752	0.1523059289
753	0.1521739594
754	0.1520498139
755	0.1518946216
756	0.1518181374
757	0.1516731138
758	0.1516094981
759	0.1515589681
760	0.1514836449
761	0.1513215105
762	0.1512321442
763	0.1511732182
764	0.1511323505
765	0.1510141511
766	0.1508984559
767	0.1508350003
768	0.1507495776
769	0.1507089945
770	0.1506392491
771	0.1505497026
772	0.150399336
773	0.1503555844
774	0.1503204713
775	0.1502157603
776	0.1499999305
777	0.1498263654
778	0.149776275
779	0.1496702653
780	0.1496260442
781	0.1495069654
782	0.1493642809
783	0.149267644
784	0.1491638415
785	0.1489694667
786	0.1488637541
787	0.148727541
788	0.1486523944
789	0.1485649679
790	0.1485370568
791	0.1483557788
792	0.1482748225
793	0.1482186698
794	0.1481743656
795	0.1481276622
796	0.1480919506
797	0.1479334718
798	0.147839752
799	0.147780141
800	0.1476664067
801	0.1475821624
802	0.1474064453
803	0.1472869567
804	0.1470758335
805	0.1469414432
806	0.1467581548
807	0.1466278422
808	0.1465661555
809	0.1465426958
810	0.1464675091
811	0.1462534732
812	0.1462237661
813	0.1461049537
814	0.1460254254
815	0.1459644946
816	0.1459303586
817	0.1458023611
818	0.1456289905
819	0.145580581
820	0.1455005511
821	0.1454639805
822	0.1453626131
823	0.1452926278
824	0.1452468246
825	0.1452100624
826	0.1451647818
827	0.1450641688
828	0.1450137604
829	0.1448737279
830	0.1447383338
831	0.1446961263
832	0.1445108284
833	0.1444193634
834	0.1442428348
835	0.144206625
836	0.1440295459
837	0.143926057
838	0.1438089412
839	0.143772696
840	0.1435731504
841	0.1435450768
842	0.1434036857
843	0.1433695618
844	0.1432705043
845	0.1432211488
846	0.1431325252
847	0.143089108
848	0.1430263268
849	0.1429069129
850	0.1427676375
851	0.1424864102
852	0.1424609434
853	0.1424358699
854	0.1422648338
855	0.1421509091
856	0.1421027437
857	0.1420731923
858	0.1420104758
859	0.1418959949
860	0.1417971373
861	0.1417097505
862	0.1415571735
863	0.1413800435
864	0.1412672833
865	0.1411436905
866	0.1410154898
867	0.140929047
868	0.1407799722
869	0.1406110583
870	0.1404306643
871	0.1401764594
872	0.1399157784
873	0.1397027754
874	0.1396243139
875	0.1394468494
876	0.1391820441
877	0.1390587289
878	0.139032906
879	0.1388503847
880	0.1387079936
881	0.1386715082
882	0.1386306481
883	0.138607255
884	0.1384349263
885	0.1382873559
886	0.1381824828
887	0.1379692438
888	0.1378526431
889	0.1377142384
890	0.1376750562
891	0.1375777089
892	0.1375470771
893	0.1373706101
894	0.1371852554
895	0.137086759
896	0.1369911315
897	0.1369538244
898	0.1369323707
899	0.1367914416
900	0.1367467241
901	0.1366377853
902	0.1363670877
903	0.1362779339
904	0.1361490337
905	0.1359913294
906	0.1359456223
907	0.1359137489
908	0.1357511103
909	0.1355916015
910	0.1355443374
911	0.1355189648
912	0.1353727289
913	0.1352245513
914	0.1351185743
915	0.1350402348
916	0.1348925355
917	0.1348656268
918	0.13477528
919	0.1346421147
920	0.1346182031
921	0.1344216486
922	0.1343451742
923	0.1342208211
924	0.1341666223
925	0.1340593022
926	0.1339608081
927	0.1338606062
928	0.133685968
929	0.1335005675
930	0.1333293757
931	0.1331031914
932	0.1329666771
933	0.1329440368
934	0.1328228066
935	0.1327914396
936	0.1326455779
937	0.1325114938
938	0.1324826649
939	0.1324484237
940	0.1322965214
941	0.1322280951
942	0.1321261789
943	0.1321068726
944	0.1320876329
945	0.1320443481
946	0.1320111478
947	0.131853055
948	0.1318319132
949	0.131730781
950	0.1315650278
951	0.131412523
952	0.1313541346
953	0.1311207374
954	0.1309494525
955	0.1308097071
956	0.1306275692
957	0.1305465929
958	0.1302854597
959	0.1302670505
960	0.1301009105
961	0.130078471
962	0.1298789312
963	0.1298501122
964	0.1297573631
965	0.1297321834
966	0.1295811967
967	0.1294375226
968	0.1294097673
969	0.1293952434
970	0.1292653798
971	0.1292502163
972	0.1291459263
973	0.1290029364
974	0.1288974597
975	0.1286965297
976	0.128538175
977	0.1284037241
978	0.1282400996
979	0.1281244465
980	0.1281113924
981	0.1280237944
982	0.1280047622
983	0.1279906009
984	0.127972057
985	0.1278002048
986	0.1277007649
987	0.1275891237
988	0.1275557884
989	0.1275154243
990	0.1274965896
991	0.127456943
992	0.1274332591
993	0.127269931
994	0.1271395984
995	0.1269486863
996	0.1269166273
997	0.1269053594
998	0.126787812
999	0.126679876
